Actual Rating,Predicted Rating
3.3,5.410999999999999
5.3,5.330000000000001
5.7,6.005000000000004
7.2,6.222999999999997
3.5,4.570000000000002
7.2,5.650999999999999
3.8,6.254999999999998
6.9,5.943999999999999
5.2,6.708999999999995
7.4,5.846000000000003
4.3,5.622999999999998
7.2,5.316000000000002
5.6,5.962999999999999
3.9,4.8569999999999975
3.2,5.2019999999999955
6.4,5.109000000000002
5.8,5.983
6.4,6.603000000000001
7.6,7.038999999999998
2.9,6.273
6.0,6.080000000000001
5.5,5.519000000000001
6.6,5.919999999999999
7.2,5.142000000000001
5.6,5.923000000000002
5.0,6.0769999999999955
7.0,5.810999999999996
4.6,5.348
6.0,5.760999999999997
4.2,5.132999999999997
6.2,5.433
6.0,6.059999999999999
5.4,5.224000000000001
6.8,5.380000000000001
7.1,4.9239999999999995
6.6,6.484000000000002
4.7,4.521999999999995
6.5,4.901999999999999
7.4,6.474999999999998
5.8,4.9762499999999985
4.9,5.749999999999999
6.4,5.496000000000001
8.5,6.435000000000002
5.6,5.832000000000004
5.0,5.848000000000002
7.0,7.028
5.6,6.546999999999996
6.8,5.7709999999999955
8.1,5.1979999999999995
7.7,6.307999999999998
7.2,5.554999999999999
4.3,6.212999999999995
4.7,4.907999999999998
6.3,5.368
4.8,5.658
7.0,6.143000000000001
5.2,5.710999999999999
5.8,5.661000000000001
7.6,6.615
6.4,5.259000000000004
6.6,5.582999999999996
7.1,5.680999999999998
7.3,6.201999999999999
4.8,5.180999999999999
4.9,5.758000000000001
3.6,6.274999999999997
7.2,6.679999999999998
3.0,6.114
3.7,4.989999999999999
6.8,6.478999999999994
7.7,6.315999999999999
5.7,5.501000000000001
6.0,5.564999999999999
4.8,5.252000000000002
5.6,4.500000000000001
3.1,5.149999999999998
5.5,6.590000000000003
5.8,4.8919999999999995
7.7,5.791
6.0,5.142999999999998
7.4,5.761999999999998
6.8,6.314000000000002
5.9,6.092000000000002
4.6,5.010999999999998
5.3,5.106999999999996
5.3,5.162999999999999
5.7,5.706
6.5,6.462000000000004
6.2,5.353000000000001
7.4,6.132999999999999
6.3,5.5089999999999995
5.1,5.391999999999999
6.6,5.767999999999998
4.1,5.266000000000002
5.3,5.487000000000003
7.6,6.132
4.5,5.445999999999997
6.0,6.233999999999997
6.9,6.141999999999997
6.3,6.037999999999999
7.5,4.842999999999999
6.2,5.583999999999999
7.0,6.775000000000001
6.5,5.617000000000001
4.3,5.542999999999998
6.7,6.131999999999996
3.8,4.825000000000004
5.6,5.725999999999998
5.6,6.633000000000002
5.0,5.893
6.3,4.748000000000002
5.6,6.097
3.3,6.183
5.9,5.881000000000004
5.3,5.477000000000001
5.8,5.709
4.5,7.089000000000003
6.4,5.749999999999999
5.6,5.266
6.1,6.253000000000002
6.8,6.582999999999999
5.3,5.677
7.0,6.353
6.3,5.964999999999999
5.6,4.6850000000000005
4.3,5.734000000000002
7.3,5.496999999999999
7.2,5.330000000000004
6.3,5.819000000000002
4.8,5.541000000000001
4.2,5.543000000000001
3.5,4.6259999999999994
3.6,5.451000000000001
6.5,5.584999999999999
5.6,5.5089999999999995
5.7,5.639000000000001
3.9,5.861000000000001
5.8,5.4559999999999995
6.3,6.161000000000001
5.4,5.750000000000003
6.6,5.927000000000001
3.6,5.618000000000004
3.7,5.175999999999999
4.8,5.838666666666668
7.1,5.494999999999999
6.0,6.035
6.2,5.582999999999998
6.3,5.279000000000002
7.8,5.295999999999998
3.1,5.8900000000000015
4.4,4.579750000000001
6.9,6.375000000000001
5.5,4.966
5.8,5.927999999999997
7.0,5.962000000000001
4.7,5.283999999999997
5.9,5.427999999999997
6.2,5.902
4.8,6.169000000000003
3.6,5.958999999999999
6.2,5.851999999999997
8.4,6.207999999999998
3.0,5.5420000000000025
5.3,5.641999999999999
7.6,5.75
3.2,5.802000000000003
6.9,5.028999999999997
5.7,5.8870000000000005
5.2,5.715999999999996
6.4,6.4599999999999955
8.2,7.329
7.1,5.704
5.4,5.609000000000001
6.1,5.418999999999996
7.2,6.231999999999997
4.9,4.878000000000003
5.9,6.875
7.9,6.615000000000004
3.5,4.562000000000001
2.5,5.580000000000001
6.6,5.250000000000003
3.2,5.608000000000001
7.5,6.164000000000003
7.3,7.908
4.5,4.9579999999999975
7.1,6.401000000000002
7.5,5.735000000000002
3.6,5.808
3.8,5.165000000000001
4.2,5.756999999999998
7.2,6.626999999999998
5.1,5.854000000000001
7.1,5.694
2.6,6.303999999999997
7.5,5.9030000000000005
5.1,6.117999999999996
5.0,5.808
6.3,6.457999999999998
5.9,6.281999999999999
5.9,6.620000000000002
6.2,6.575999999999999
3.6,5.3350000000000035
6.7,5.658000000000003
5.4,6.489999999999996
5.8,5.968
7.3,6.392000000000001
5.3,5.332000000000002
4.7,5.407
4.7,4.973999999999999
5.6,6.275999999999999
4.8,6.126999999999998
5.4,6.062000000000004
6.6,5.529999999999997
6.6,6.104999999999997
3.9,5.392
7.3,5.837999999999998
5.4,5.554999999999998
6.8,6.1099999999999985
8.4,5.0379999999999985
5.5,5.246999999999998
6.2,6.797999999999999
7.1,5.481999999999997
7.0,6.467
6.8,6.225999999999998
5.3,4.823000000000002
6.6,6.516
5.4,6.575999999999999
5.7,4.902000000000003
6.1,5.109000000000005
7.3,6.49
7.3,7.022000000000004
6.8,5.976
7.1,5.954999999999999
6.4,5.343000000000002
6.6,6.3309999999999995
5.5,4.550750000000001
7.1,5.418999999999999
6.9,5.7010000000000005
6.1,6.542999999999999
5.7,6.062999999999997
7.5,5.6999999999999975
6.0,5.537999999999998
3.8,6.415000000000004
6.3,6.1039999999999965
6.8,6.045999999999999
8.0,6.345999999999999
7.8,6.512
5.2,5.962
9.0,7.377000000000001
4.1,6.323
5.7,5.364000000000001
5.3,5.598
6.8,5.732999999999997
6.3,6.045999999999996
5.6,6.078
7.2,6.904000000000004
6.5,5.874
6.1,5.849
4.7,5.300000000000004
6.1,5.295999999999999
5.8,5.278999999999997
7.0,7.597999999999997
6.5,5.6530000000000005
6.9,6.1389999999999985
4.7,6.299999999999998
7.2,6.193999999999999
7.3,5.723000000000001
2.8,6.086000000000001
7.2,5.838000000000005
6.0,5.528999999999999
6.7,7.1160000000000005
5.1,5.354999999999999
3.5,6.812000000000003
6.8,6.024999999999999
3.9,5.639999999999999
4.8,5.750000000000001
8.5,6.5829999999999975
6.2,5.875000000000003
8.9,7.239999999999998
8.4,6.107000000000002
7.1,5.0349999999999975
3.4,5.783000000000002
6.9,6.411999999999997
6.8,5.0189999999999975
7.1,6.4099999999999975
5.3,5.673000000000002
6.8,6.854000000000001
5.4,5.8519999999999985
6.6,5.968
6.1,5.382000000000001
5.3,5.5159999999999965
4.8,6.529999999999998
7.6,6.940000000000003
2.9,5.801
4.8,4.667999999999999
4.6,5.1259999999999994
6.7,5.98
7.1,6.132999999999999
8.2,6.568999999999999
5.9,5.780999999999997
7.5,6.592000000000001
6.8,5.8580000000000005
5.2,5.820999999999997
7.7,6.429000000000003
5.2,6.136000000000003
8.1,5.375
7.3,6.022000000000002
6.1,5.277
7.2,5.763999999999998
6.0,5.873000000000002
6.5,5.940000000000001
5.5,4.779
6.3,5.869000000000001
8.0,6.249
7.9,4.765999999999999
5.1,5.7520000000000024
6.2,6.224000000000001
4.1,5.79
4.9,6.288999999999998
6.4,6.2429999999999986
6.2,7.1679999999999975
6.4,6.185999999999998
5.2,5.3679999999999986
3.2,5.258000000000002
5.5,5.663999999999998
6.6,5.906999999999997
6.7,4.671000000000001
6.5,5.707999999999999
6.2,4.851000000000002
6.1,6.580000000000001
5.4,5.343000000000001
5.6,5.446000000000002
7.2,6.554000000000001
8.0,5.852
6.2,5.479
5.8,5.575000000000001
5.8,5.8660000000000005
6.2,5.441999999999997
6.2,5.536999999999999
7.2,6.231999999999999
7.5,6.984999999999998
6.4,5.6080000000000005
4.7,5.806000000000003
5.0,4.862
6.0,5.180999999999999
5.5,5.537000000000002
6.5,5.987
4.0,5.626999999999999
5.8,5.918000000000002
8.3,5.944000000000004
7.2,5.691999999999999
5.7,6.373000000000001
3.9,6.139000000000001
6.9,5.991999999999998
8.2,6.5150000000000015
6.9,5.859
5.3,5.852
4.0,5.213999999999999
8.4,7.56
4.5,6.675000000000001
6.8,5.871
6.6,6.866000000000001
4.3,5.871999999999997
3.3,5.355000000000002
7.3,5.643000000000003
